customer_city,city_rank
orizona,1530
vargem bonita,1531
tocantins,1532
areado,1533
bom principio,1534
aurora,1535
rio do campo,1536
juatuba,1537
santa tereza do oeste,1538
lagoa dourada,1539
juara,1540
capitao leonidas marques,1541
condor,1542
aguas vermelhas,1543
formoso do araguaia,1544
otacilio costa,1545
conceicao do rio verde,1546
lago da pedra,1547
ladario,1548
trindade do sul,1549
pauliceia,1550
aguas formosas,1551
matipo,1552
garuva,1553
apiaca,1554
sao jose do ouro,1555
turvo,1556
itarana,1557
oeiras,1558
paulistana,1559
tres coroas,1560
general salgado,1561
araujos,1562
corrente,1563
araruna,1564
silva jardim,1565
rafard,1566
santo amaro de campos,1567
frei inocencio,1568
piranhas,1569
areias,1570
ubaira,1571
rio das flores,1572
delmiro gouveia,1573
guapo,1574
santo antonio do jardim,1575
nova alvorada do sul,1576
pacaja,1577
cocalinho,1578
rio casca,1579
rio pardo de minas,1580
guarai,1581
claudia,1582
sao pedro dos ferros,1583
sao romao,1584
tombos,1585
nova trento,1586
cabrobo,1587
santo estevao,1588
diamante do norte,1589
borda da mata,1590
ipora do oeste,1591
assai,1592
gravatal,1593
colinas,1594
butia,1595
pedra preta,1596
santo antonio do descoberto,1597
araputanga,1598
agua branca,1599
itapaje,1600
jacaraci,1601
guadalupe,1602
regeneracao,1603
guapiacu,1604
carbonita,1605
custodia,1606
colonia vitoria,1607
pedralva,1608
datas,1609
quatis,1610
roseira,1611
ipumirim,1612
alvorada do norte,1613
maracana,1614
maragogi,1615
toritama,1616
prado,1617
urucui,1618
itapecuru mirim,1619
macau,1620
jacupiranga,1621
itarantim,1622
matias olimpio,1623
bacuri,1624
itauba,1625
pongai,1626
arealva,1627
vargem alta,1628
redentora,1629
vargem alegre,1630
andrelandia,1631
jordania,1632
remanso,1633
rio bananal,1634
mirante do paranapanema,1635
rio azul,1636
andorinha,1637
minas novas,1638
jaguaribe,1639
jauru,1640
mendes pimentel,1641
ariranha,1642
riacho de santana,1643
jardim do serido,1644
riacho dos machados,1645
jardim,1646
ribeirao do pinhal,1647
utinga,1648
lagoa da confusao,1649
upanema,1650
varjota,1651
macaiba,1652
irapua,1653
montalvania,1654
anita garibaldi,1655
porteirinha,1656
pirauba,1657
itabela,1658
rodeiro,1659
una,1660
aracoiaba,1661
travessao,1662
itaipava,1663
prudente de morais,1664
quintana,1665
arandu,1666
maristela,1667
laurentino,1668
quatigua,1669
rio pardo,1670
quatro bocas,1671
itapaci,1672
itapagipe,1673
japira,1674
massaranduba,1675
tres barras,1676
rio manso,1677
granja,1678
manoel ribas,1679
monte azul,1680
